time,Serving_gNB_UE_Throughput,Source_gNB,Target_gNB,Target_gNB_UE_Throughput,ue-id
2024-05-24T07:19:27.456044Z,26200.0,2,5,0.0,10
2024-05-24T07:19:29.986771Z,0.0,7,3,0.0,7
2024-05-24T07:19:34.776663Z,0.0,3,7,0.0,7
2024-05-24T07:19:41.742908Z,0.0,7,3,0.0,7
2024-05-24T07:19:41.772862Z,0.0,3,7,0.0,7
2024-05-24T07:19:44.369490Z,0.0,7,3,0.0,7
2024-05-24T07:20:08.902027Z,20960.0,4,2,11528.0,9
2024-05-24T07:21:08.524778Z,0.0,7,5,11528.0,1
2024-05-24T07:21:11.417120Z,0.0,2,3,2096.0,3
2024-05-24T07:21:19.678117Z,15196.0,2,4,19912.0,9
2024-05-24T07:21:19.698448Z,14672.0,5,6,16768.0,1
2024-05-24T07:21:30.880471Z,25152.0,6,2,34584.0,1
2024-05-24T07:21:42.996236Z,0.0,3,2,0.0,3
2024-05-24T07:21:43.007769Z,0.0,2,3,0.0,3
2024-05-24T07:21:43.030202Z,48208.0,2,7,22008.0,1
2024-05-24T07:21:44.911757Z,0.0,3,2,16768.0,3
2024-05-24T07:21:48.821070Z,18864.0,7,2,18864.0,1
2024-05-24T07:21:53.472168Z,3144.0,3,2,7859.0,7
2024-05-24T07:21:53.480696Z,18864.0,4,2,18864.0,9
2024-05-24T07:21:53.483085Z,0.0,5,2,0.0,10
2024-05-24T07:21:53.490443Z,0.0,2,5,0.0,10
2024-05-24T07:21:55.842068Z,0.0,5,2,524.0,10
2024-05-24T07:22:07.416514Z,18864.0,2,6,18864.0,2
2024-05-24T07:22:19.089609Z,26724.0,2,3,28295.0,1
2024-05-24T07:22:40.858182Z,0.0,3,2,17816.0,1
2024-05-24T07:23:07.799615Z,0.0,2,4,3668.0,8
2024-05-24T07:23:14.034932Z,0.0,2,7,15196.0,1
2024-05-24T07:23:16.224289Z,22532.0,4,2,18864.0,8
2024-05-24T07:23:40.281815Z,26200.0,2,4,22532.0,9
2024-05-24T07:23:51.338128Z,26200.0,4,2,11004.0,9
2024-05-24T07:23:51.347955Z,11004.0,2,4,0.0,9
2024-05-24T07:23:53.734008Z,0.0,4,2,0.0,9
2024-05-24T07:23:56.014935Z,37728.0,7,3,37204.0,1
2024-05-24T07:23:56.028467Z,37204.0,3,7,0.0,1
